Type,Date, Time, Image_ID, xx_coord, xy_coord, yx_coord, yy_coord, ESD_in_um
ROI, 2021/03/06, 19:15:13.612, 20210306_191513.612.0.png, 0, 872, 68, 952, 0.002168881009156596
ROI, 2021/03/06, 19:15:17.333, 20210306_191517.333.0.png, 2364, 1636, 2464, 1720, 0.00174540225563608
ROI, 2021/03/06, 19:15:25.801, 20210306_191525.801.0.png, 1792, 300, 1888, 380, 0.0018253853718913976
ROI, 2021/03/06, 19:15:32.840, 20210306_191532.840.0.png, 1500, 1420, 1584, 1488, 0.0021166111350526106
ROI, 2021/03/06, 19:15:35.859, 20210306_191535.859.0.png, 444, 1212, 556, 1292, 0.0016899784671278496
ROI, 2021/03/06, 19:15:35.859, 20210306_191535.859.1.png, 1264, 1004, 1408, 1120, 0.001237727200722857
ROI, 2021/03/06, 19:15:40.298, 20210306_191540.298.0.png, 2572, 1084, 2652, 1168, 0.0019514190458418703
ROI, 2021/03/06, 19:15:43.267, 20210306_191543.267.0.png, 904, 888, 972, 988, 0.001939906148632997
ROI, 2021/03/06, 19:15:50.467, 20210306_191550.467.0.png, 2028, 1356, 2140, 1484, 0.001336045288191
ROI, 2021/03/06, 19:15:52.983, 20210306_191552.983.0.png, 2696, 632, 2736, 876, 0.0016192364335097333
ROI, 2021/03/06, 19:15:53.454, 20210306_191553.454.0.png, 2476, 572, 2572, 656, 0.0017813937175880001
ROI, 2021/03/06, 19:16:13.658, 20210306_191613.658.0.png, 0, 1956, 68, 2040, 0.0021166111350526106
ROI, 2021/03/06, 19:16:19.564, 20210306_191619.564.0.png, 1144, 880, 1288, 1024, 0.0011108941603609722
ROI, 2021/03/06, 19:16:29.184, 20210306_191629.184.0.png, 704, 1732, 868, 1784, 0.0017322540288122572
ROI, 2021/03/06, 19:16:34.166, 20210306_191634.166.0.png, 1172, 96, 1272, 276, 0.0011923367320198493
ROI, 2021/03/06, 19:16:41.414, 20210306_191641.414.0.png, 2652, 1808, 2732, 1904, 0.0018253853718913976
ROI, 2021/03/06, 19:16:42.651, 20210306_191642.651.0.png, 608, 1244, 692, 1356, 0.0016492501093515186
ROI, 2021/03/06, 19:16:45.411, 20210306_191645.411.0.png, 1064, 400, 1180, 480, 0.001660585295050101
ROI, 2021/03/06, 19:16:51.595, 20210306_191651.595.0.png, 984, 64, 1064, 164, 0.0017885050980297743
ROI, 2021/03/06, 19:16:51.704, 20210306_191651.704.0.png, 28, 1448, 96, 1548, 0.001939906148632997
ROI, 2021/03/06, 19:16:56.257, 20210306_191656.257.0.png, 1724, 796, 1808, 864, 0.0021166111350526106
ROI, 2021/03/06, 19:17:02.130, 20210306_191702.130.0.png, 0, 452, 128, 580, 0.0012497559304060937
ROI, 2021/03/06, 19:17:07.691, 20210306_191707.691.0.png, 1544, 772, 1640, 872, 0.0016326743106731593
ROI, 2021/03/06, 19:17:19.001, 20210306_191719.001.0.png, 2516, 608, 2692, 772, 0.0009415793340829478
ROI, 2021/03/06, 19:17:33.026, 20210306_191733.026.0.png, 224, 852, 356, 968, 0.0012927638988866547
ROI, 2021/03/06, 19:17:39.448, 20210306_191739.448.0.png, 196, 0, 280, 116, 0.001620565310576655
ROI, 2021/03/06, 19:17:51.957, 20210306_191751.957.0.png, 1508, 584, 1640, 696, 0.0013156464523147399
ROI, 2021/03/06, 19:17:53.060, 20210306_191753.060.0.png, 1184, 1108, 1264, 1188, 0.00199960948864975
ROI, 2021/03/06, 19:17:56.296, 20210306_191756.296.0.png, 756, 244, 884, 344, 0.001413937429149203
