profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
bop_001	sn204_2021_he570	3	Helena Hauss(hhauss@geomar.de)	HDR20210303184043	uvp5	xx	2021-03-03 18:40:43	60.87183	5.417	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_001.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_002	sn204_2021_he570	14	Helena Hauss(hhauss@geomar.de)	HDR20210304145536	uvp5	he570_002	2021-03-04 14:55:36	60.8705	5.55867	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_002.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_003	sn204_2021_he570	21	Helena Hauss(hhauss@geomar.de)	HDR20210304180221	uvp5	he570_003	2021-03-04 18:02:21	60.86783	5.52427	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_003.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_004	sn204_2021_he570	24	Helena Hauss(hhauss@geomar.de)	HDR20210304195102	uvp5	he570_004	2021-03-04 19:51:02	60.86567	5.50383	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_004.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_005	sn204_2021_he570	27	Helena Hauss(hhauss@geomar.de)	HDR20210305071557	uvp5	he570_005	2021-03-05 07:15:57	60.87617	5.49983	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_005.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_006	sn204_2021_he570	30	Helena Hauss(hhauss@geomar.de)	HDR20210305085253	uvp5	he570_006	2021-03-05 08:52:53	60.88105	5.47567	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_006.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_007	sn204_2021_he570	33	Helena Hauss(hhauss@geomar.de)	HDR20210305105302	uvp5	he570_007	2021-03-05 10:53:02	60.87722	5.44762	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_007.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_008	sn204_2021_he570	37	Helena Hauss(hhauss@geomar.de)	HDR20210305143019	uvp5	he570_008	2021-03-05 14:30:19	60.87167	5.41807	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_008.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_009	sn204_2021_he570	40	Helena Hauss(hhauss@geomar.de)	HDR20210305181518	uvp5	he570_009	2021-03-05 18:15:18	60.8738	5.38453	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_009.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_010	sn204_2021_he570	44	Helena Hauss(hhauss@geomar.de)	HDR20210305205941	uvp5	he570_010	2021-03-05 20:59:41	60.86623	5.35823	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_010.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_011	sn204_2021_he570	47	Helena Hauss(hhauss@geomar.de)	HDR20210306074156	uvp5	he570_011	2021-03-06 07:41:56	60.85372	5.34945	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_011.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_012	sn204_2021_he570	50	Helena Hauss(hhauss@geomar.de)	HDR20210306100632	uvp5	he570_012	2021-03-06 10:06:32	60.83913	5.34593	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_012.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_013	sn204_2021_he570	53	Helena Hauss(hhauss@geomar.de)	HDR20210306121101	uvp5	he570_013	2021-03-06 12:11:01	60.82392	5.34285	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_013.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_014	sn204_2021_he570	60	Helena Hauss(hhauss@geomar.de)	HDR20210306191754	uvp5	he570_014	2021-03-06 19:17:54	60.87117	5.4161	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_014.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_015a	sn204_2021_he570	69	Helena Hauss(hhauss@geomar.de)	HDR20210307021353	uvp5	he570_015	2021-03-07 02:13:53	60.8715	5.4072	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_015a.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_015b	sn204_2021_he570	69	Helena Hauss(hhauss@geomar.de)	HDR20210307032636	uvp5	he570_015	2021-03-07 03:26:36	60.8713	5.41468	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_015b.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_015c	sn204_2021_he570	69	Helena Hauss(hhauss@geomar.de)	HDR20210307042032	uvp5	he570_015	2021-03-07 04:20:32	60.8713	5.41468	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_015c.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_016a	sn204_2021_he570	76	Helena Hauss(hhauss@geomar.de)	HDR20210307110406	uvp5	he570_016	2021-03-07 11:04:06	60.87228	5.4115	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_016a.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_016b	sn204_2021_he570	76	Helena Hauss(hhauss@geomar.de)	HDR20210307115218	uvp5	he570_016	2021-03-07 11:52:18	60.87228	5.4115	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_016b.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_016c	sn204_2021_he570	76	Helena Hauss(hhauss@geomar.de)	HDR20210307124020	uvp5	he570_016	2021-03-07 12:40:20	60.87228	5.4115	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_016c.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_016d	sn204_2021_he570	76	Helena Hauss(hhauss@geomar.de)	HDR20210307130944	uvp5	he570_016	2021-03-07 13:09:44	60.87228	5.4115	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_016d.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_016e	sn204_2021_he570	76	Helena Hauss(hhauss@geomar.de)	HDR20210307133255	uvp5	he570_016	2021-03-07 13:32:55	60.87228	5.4115	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_016e.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
bop_017	sn204_2021_he570	85	Helena Hauss(hhauss@geomar.de)	HDR20210308144011	uvp5	he570_018	2021-03-08 14:40:11	60.87142	5.41745	0.0039	1.1414	0.092	export_detailed_20220509_10_06_PAR_bop_017.tsv	export_detailed_20220509_10_06_ZOO_Aggregated.tsv	uvp5_sn204_2021_he570_filtered
