profile	Rawfilename	yyyy-mm-dd hh:mm	Project	Depth [m]	Sampled volume [L]	LPM (1-2 µm) [# l-1]	LPM (2-4 µm) [# l-1]	LPM (4-8 µm) [# l-1]	LPM (8-16 µm) [# l-1]	LPM (16-32 µm) [# l-1]	LPM (32-64 µm) [# l-1]	LPM (64-128 µm) [# l-1]	LPM (128-256 µm) [# l-1]	LPM (256-512 µm) [# l-1]	LPM (0.512-1.02 mm) [# l-1]	LPM (1.02-2.05 mm) [# l-1]	LPM (2.05-4.1 mm) [# l-1]	LPM (4.1-8.19 mm) [# l-1]	LPM (8.19-16.4 mm) [# l-1]	LPM (>16.4 mm) [# l-1]	LPM biovolume (1-2 µm) [mm3 l-1]	LPM biovolume (2-4 µm) [mm3 l-1]	LPM biovolume (4-8 µm) [mm3 l-1]	LPM biovolume (8-16 µm) [mm3 l-1]	LPM biovolume (16-32 µm) [mm3 l-1]	LPM biovolume (32-64 µm) [mm3 l-1]	LPM biovolume (64-128 µm) [mm3 l-1]	LPM biovolume (128-256 µm) [mm3 l-1]	LPM biovolume (256-512 µm) [mm3 l-1]	LPM biovolume (0.512-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-16.4 mm) [mm3 l-1]	LPM biovolume (>16.4 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	2.5	642.36	0.0	0.0	0.0	0.0	0.0	0.0	17.568030387944454	16.439379787035307	1.5116134254934928	0.05448658073354505	0.028021670091537457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010545744384152799	0.041842083341385256	0.027050409242575905	0.008384190910661466	0.03972635356285746	0.0	0.0	0.0	0.0																																					
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	7.5	436.72	0.0	0.0	0.0	0.0	0.0	0.0	47.449166514013555	28.69115222568236	1.266257556328998	0.05266532331928924	0.0022897966660560543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028482804859061787	0.06041754546199765	0.022479562877493475	0.012004580169748175	0.0014791997141043894	0.0	0.0	0.0	0.0																																					
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	12.5	437.78000000000003	0.0	0.0	0.0	0.0	0.0	0.0	82.32673945817534	50.0159897665494	1.6697884782310748	0.027411028370414363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049419128447229795	0.10368426395145591	0.025670058334270673	0.0025692364130421156	0.0	0.0	0.0	0.0	0.0																																					
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	17.5	436.72	0.0	0.0	0.0	0.0	0.0	0.0	74.7595713500641	53.785033888990654	2.3012456493863342	0.02289796666056054	0.0045795933321121085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04487670571583381	0.11749698619753132	0.03569783894404207	0.0035726253466475395	0.006727500831217834	0.0	0.0	0.0	0.0																																					
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	22.5	440.96000000000004	0.0	0.0	0.0	0.0	0.0	0.0	64.53873367198838	48.98630261248185	2.3539550072568938	0.029481132075471695	0.0045355587808417995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038741337142082395	0.11007496340860067	0.0369507373735404	0.002961619488754917	0.0038802593257423403	0.0	0.0	0.0	0.0																																					
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	27.5	440.96000000000004	0.0	0.0	0.0	0.0	0.0	0.0	69.4008526850508	53.580823657474596	2.460540638606676	0.027213352685050797	0.0045355587808417995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04165997190903221	0.1186659096114186	0.03881923103132366	0.0056190198818138175	0.003396000867529403	0.0	0.0	0.0	0.0																																					
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	32.5	429.3	0.0	0.0	0.0	0.0	0.0	0.0	66.29163754949919	54.353598881900766	2.457488935476357	0.03726997437689261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03979357099038587	0.12134116241531458	0.037834281918090004	0.003692600063203753	0.0	0.0	0.0	0.0	0.0																																					
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	37.5	433.54	0.0	0.0	0.0	0.0	0.0	0.0	65.82552936291923	59.75227199335701	3.178484107579462	0.039212068090602945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039513775379694846	0.13547051562022228	0.050715671353437214	0.004763991266026742	0.0	0.0	0.0	0.0	0.0																																					
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	42.5	428.24	0.0	0.0	0.0	0.0	0.0	0.0	62.462637773211284	56.37492994582477	2.7764804782365027	0.03969736596301139	0.0046702783485895755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037495097456584386	0.12632146267350292	0.04319837255399618	0.004650241496825418	0.004018962892251659	0.0	0.0	0.0	0.0																																					
bop_001	HDR20210303184043	2021-03-03 18:40:43	uvp5_sn204_2021_he570_filtered	47.5	420.82	0.0	0.0	0.0	0.0	0.0	0.0	59.97576160828858	60.46052944251699	3.2769355068675443	0.05703150990922485	0.0023763129128843686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03600227442684317	0.1380981567749272	0.05171880707179014	0.011946472099005807	0.0019328973195761956	0.0	0.0	0.0	0.0																																					
