profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
bop_he570_001	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210303-182000	uvp6	he570_ctd001	2021-03-03 18:41:20	60.87194	5.41611	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_001.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_002	fjord experiment	fjordexport_M01	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210304-144437	uvp6	he570_ctd002	2021-03-04 14:55:12	60.87111	5.55778	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_002.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_003	fjord experiment	fjordexport_M02	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210304-175018	uvp6	he570_ctd003	2021-03-04 18:02:04	60.86778	5.52417	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_003.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_004	fjord experiment	fjordexport_M03	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210304-194020	uvp6	he570_ctd004	2021-03-04 19:50:46	60.86556	5.50389	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_004.tsv	no data available	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_005	fjord experiment	fjordexport_M04	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210305-070616	uvp6	he570_ctd005	2021-03-05 07:15:40	60.87611	5.49972	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_005.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_006	fjord experiment	fjordexport_M05	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210305-083240	uvp6	he570_ctd006	2021-03-05 08:52:20	60.88111	5.47583	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_006.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_007	fjord experiment	fjordexport_M06	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210305-103546	uvp6	he570_ctd007	2021-03-05 10:54:06	60.87722	5.48111	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_007.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_008	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210305-141249	uvp6	he570_ctd008	2021-03-05 14:30:56	60.87139	5.41667	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_008.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_009	fjord experiment	fjordexport_M08	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210305-180636	uvp6	he570_ctd009	2021-03-05 18:16:13	60.87389	5.38444	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_009.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_010	fjord experiment	fjordexport_M09	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210305-204359	uvp6	he570_ctd0010	2021-03-05 21:00:02	60.86611	5.35806	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_010.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_011	fjord experiment	fjordexport_M10	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210306-072935	uvp6	he570_ctd0011	2021-03-06 07:42:30	60.85361	5.34944	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_011.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_012	fjord experiment	fjordexport_M11	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210306-095621	uvp6	he570_ctd012	2021-03-06 10:07:43	60.85361	5.34611	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_012.tsv	no data available	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_013	fjord experiment	fjordexport_M12	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210306-120027	uvp6	he570_ctd013	2021-03-06 12:11:56	60.82389	5.34222	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_013.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_014	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210306-190253	uvp6	he570_ctd014	2021-03-06 19:18:30	60.87139	5.41639	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_014.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_015a	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210307-015343	uvp6	he570_ctd015	2021-03-07 02:15:13	60.87139	5.41472	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_015a.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_015b	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210307-032245	uvp6	he570_ctd015	2021-03-07 03:28:23	60.87139	5.41472	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_015b.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_015c	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210307-041607	uvp6	he570_ctd015	2021-03-07 04:21:49	60.87139	5.41472	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_015c.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_016a	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210307-105213	uvp6	he570_ctd016	2021-03-07 11:05:30	60.87222	5.41139	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_016a.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_016b	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210307-114808	uvp6	he570_ctd016	2021-03-07 11:53:48	60.87222	5.41139	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_016b.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_016c	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210307-123631	uvp6	he570_ctd016	2021-03-07 12:41:31	60.87222	5.41139	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_016c.tsv	no data available	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_016d	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210307-130536	uvp6	he570_ctd016	2021-03-07 13:11:06	60.87222	5.41139	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_016d.tsv	no data available	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_016e	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210307-132905	uvp6	he570_ctd016	2021-03-07 13:34:05	60.87222	5.41139	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_016e.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_017	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210308-142802	uvp6	he570_ctd019	2021-03-08 14:41:24	60.87139	5.4175	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_017.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_018	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210308-192016	uvp6		2021-03-08 19:31:43	60.87194	5.41611	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_018.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_019	fjord experiment	fjordexport_M07	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210309-163521	uvp6	he570_ctd020	2021-03-09 16:47:29	60.87167	5.41583	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_019.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_020	fjord experiment	fjordexport_L01	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210311-082637	uvp6	he570_ctd021	2021-03-11 08:38:33	60.87167	5.415	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_020.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_021	fjord experiment	fjordexport_L02	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210311-101246	uvp6	he570_ctd022	2021-03-11 10:20:06	60.63361	5.23417	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_021.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_022	fjord experiment	fjordexport_L03	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210311-114815	uvp6	he570_ctd023	2021-03-11 11:59:46	60.64278	5.22222	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_022.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
bop_he570_023	fjord experiment	fjordexport_L04	rainer kiko(rainer.kiko@obs-vlfr.fr)	HDR20210311-132447	uvp6	he570_ctd024	2021-03-11 13:32:29	60.65361	5.21389	0.002342	1.136	73.0	export_detailed_20220511_09_31_PAR_bop_he570_023.tsv	export_detailed_20220511_09_31_ZOO_Aggregated.tsv	uvp6_sn000125hf_2021_fjord_experiment_he570
