profile	Rawfilename	yyyy-mm-dd hh:mm	Project	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	2.5	640.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	507.2834645669291	0.0	125.41557305336832	18.91169853768279	15.985501812273466	9.525371828521434	3.3448943882014746	1.5123109611298586	0.8077115360579927	0.2952755905511811	0.13279590051243595	0.07967754030746156	0.04530683664541932	0.051556055493063364	0.03124609423822022	0.02968378952630921	0.021872265966754154	0.014060742407199098	0.009373828271466066	0.010936132983377077	0.003124609423822022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043250869484396284	0.0	0.044223390688079775	0.017115315055746778	0.024069910199982853	0.028777479811473907	0.02131948175997047	0.01836451054136296	0.019348324058900784	0.014682374579553119	0.013080568211548755	0.015367968013259129	0.017765792475485664	0.042806540633144825	0.05275233109909102	0.09594338084505903	0.14024340340360233	0.18572664835142647	0.2279624037708169	0.4849353292514084	0.3224244272321514	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	7.5	286.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	631.275074132217	0.0	179.3894993894994	26.268969126111987	22.448979591836736	13.846153846153847	4.775859061573348	2.1001221001221	1.0221524507238793	0.29304029304029305	0.05232862375719519	0.03488574917146346	0.024420024420024423	0.010465724751439039	0.010465724751439039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05382236510183514	0.0	0.06308885173588868	0.02377373359073122	0.03385796541397406	0.042032564679379686	0.030557737473491765	0.025944765741974733	0.024432523725087245	0.013579122077081132	0.004945350142939945	0.007240502026440374	0.008988187547492676	0.008083053133706731	0.015783468221214413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	17.5	571.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	702.1805708685532	0.0	287.5973469137747	54.47402040566319	47.1850335135892	27.659648938590507	7.789503158852663	2.4168285469277753	0.7875255945818239	0.17675574456169826	0.05250170630545493	0.012250398137939484	0.0017500568768484977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05986775116165407	0.0	0.10447938081400122	0.04929964485941631	0.07104419423079934	0.08283985305733488	0.0489937686161099	0.02913144757168113	0.018401074298595454	0.008505913679480821	0.005215861959774288	0.002671970725996661	0.000604820618063448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	32.5	286.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	648.6028257456829	0.0	241.78615035757895	47.89464503750219	43.42229199372057	26.673643816500963	7.933019361590791	2.5850340136054424	0.9314495028780744	0.15349729635443923	0.03488574917146346	0.0	0.0	0.003488574917146346	0.006977149834292692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055299725149696846	0.0	0.08763361894071697	0.043345230872131324	0.06557247134002969	0.08048386781790705	0.050056437721394904	0.03092723138233684	0.021224523191603426	0.007069461790698809	0.0030759328745884173	0.0	0.0	0.002849177963676613	0.009465763305165168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	47.5	286.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	651.728588871446	0.0	219.45578231292518	43.98395255538113	41.09192394906681	28.693528693528695	8.979591836734695	3.2234432234432235	1.1268096982382698	0.2337345194488052	0.05581719867434154	0.02790859933717077	0.01744287458573173	0.003488574917146346	0.003488574917146346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0555662269823693	0.0	0.07924464398746318	0.039806007053378376	0.062221933736495545	0.08691770504929322	0.05675467027524673	0.0386751722773194	0.02577086985793993	0.01048415724551587	0.005281430025150498	0.004914450473986653	0.0073567574118175655	0.0024163655736301024	0.004082572250164282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	62.5	286.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	676.249912593525	0.0	221.27823229144818	41.39570659394448	39.70701349555976	27.65191245367457	9.880427942101951	3.7025382840360814	1.300608349066499	0.3041745332494231	0.07691769806307251	0.041955108034403193	0.038458849031536256	0.010488777008600798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05765690930491194	0.0	0.07939764778507163	0.03746361327084823	0.06020194412084915	0.08436497057338124	0.06261806980107747	0.0447607269832638	0.029898532784930282	0.013624699056831715	0.007850415324447775	0.0077886048624754255	0.015103653585134031	0.007976526285279178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	77.5	285.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	583.2509898735065	0.0	179.64890150320616	33.94302533375381	32.25410841304881	22.96506534917131	8.353481201163321	3.500473036896878	1.457654437786888	0.4520130347944918	0.20323066680682575	0.08409544833385893	0.024527839097375524	0.02803181611128631	0.003503977013910789	0.003503977013910789	0.003503977013910789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0497278429155968	0.0	0.06431924212810747	0.030718846928255498	0.04905217903222571	0.07018948212582132	0.05367525178266209	0.04250092967509329	0.034831127488556664	0.021546091649496776	0.018959935104016567	0.01530990701916172	0.01047352362146899	0.02258799293052271	0.00420543376583468	0.009692726668880956	0.023146015271011306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	92.5	286.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.1665617788966	0.0	144.3010978253269	24.830431438360954	22.673239633592058	14.285714285714286	5.216418432277464	2.4089224529753164	1.4579400041955108	0.5978602894902455	0.2552269072092861	0.18530172715194743	0.08041395706593946	0.05943640304873785	0.010488777008600798	0.0034962590028669326	0.0034962590028669326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04417875980603854	0.0	0.0513824242572152	0.02247183964945644	0.03440338175038086	0.04356362189985281	0.03332513248617692	0.029329525661976823	0.035650969757189725	0.02843816990632401	0.02515183061064775	0.03467456223259795	0.03132942940776587	0.044861291854386004	0.015675427675140716	0.009157522246226044	0.01610953628603258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	107.5	287.28000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	416.8407128933444	0.0	100.63700918964076	18.062517404622668	16.423001949317737	11.52186020607073	4.274575327206906	1.7613478139793928	0.8667502088554719	0.44903926482873846	0.1949317738791423	0.10442773600668337	0.052213868003341685	0.0278473962684489	0.006961849067112225	0.0034809245335561123	0.0	0.0034809245335561123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03553974164035481	0.0	0.03587519857129741	0.01634679589800111	0.024865025132338278	0.035177122081665214	0.027214155464316273	0.021688979476529598	0.021085077171819115	0.022041622134619295	0.01893050567331383	0.020942182583690003	0.020183292979744222	0.019885248554025636	0.010550777411267292	0.009335202044768119	0.0	0.05026430632740902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	117.5	284.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390.9678325607529	0.0	84.55892681556399	15.679870768366344	15.247928079786487	11.957437842393595	5.021772720887765	2.096502317741256	1.1167298777918246	0.3827784801236129	0.25635622980755723	0.11237533361427167	0.07374631268436578	0.024582104228121928	0.028093833403567917	0.0035117291754459897	0.0	0.0	0.0	0.0035117291754459897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333382591746477	0.0	0.029941840406057386	0.01419047198215685	0.02309166470967456	0.03693080851428288	0.03226811428186265	0.0256487982556675	0.026500007348789066	0.01863023594560981	0.024774984166198614	0.023440460459390616	0.028780671982846576	0.01860762494150013	0.03814899276612531	0.009863768886590529	0.0	0.0	0.0	0.13875353075153093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
