profile	Rawfilename	yyyy-mm-dd hh:mm	Project	Depth [m]	Sampled volume [L]	LPM (1-2 µm) [# l-1]	LPM (2-4 µm) [# l-1]	LPM (4-8 µm) [# l-1]	LPM (8-16 µm) [# l-1]	LPM (16-32 µm) [# l-1]	LPM (32-64 µm) [# l-1]	LPM (64-128 µm) [# l-1]	LPM (128-256 µm) [# l-1]	LPM (256-512 µm) [# l-1]	LPM (0.512-1.02 mm) [# l-1]	LPM (1.02-2.05 mm) [# l-1]	LPM (2.05-4.1 mm) [# l-1]	LPM (4.1-8.19 mm) [# l-1]	LPM (8.19-16.4 mm) [# l-1]	LPM (>16.4 mm) [# l-1]	LPM biovolume (1-2 µm) [mm3 l-1]	LPM biovolume (2-4 µm) [mm3 l-1]	LPM biovolume (4-8 µm) [mm3 l-1]	LPM biovolume (8-16 µm) [mm3 l-1]	LPM biovolume (16-32 µm) [mm3 l-1]	LPM biovolume (32-64 µm) [mm3 l-1]	LPM biovolume (64-128 µm) [mm3 l-1]	LPM biovolume (128-256 µm) [mm3 l-1]	LPM biovolume (256-512 µm) [mm3 l-1]	LPM biovolume (0.512-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-16.4 mm) [mm3 l-1]	LPM biovolume (>16.4 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	2.5	68.04	0.0	0.0	0.0	0.0	0.0	583.7595532039976	174.57378012933566	39.579659024103464	3.3950617283950613	0.01469723691945914	0.04409171075837742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049771202906150405	0.07456328066026087	0.10672897789130659	0.059276970627797576	0.00283318396897092	0.03405360347996817	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	7.5	101.43	0.0	0.0	0.0	0.0	0.0	847.392290249433	312.9054520358868	49.13733609385783	2.0999704229517895	0.08873114463176575	0.009859016070196194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07224846837645417	0.13055295346456483	0.11530167452283864	0.040329162066149456	0.017381074311747433	0.015030909572885075	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	12.5	102.69	0.0	0.0	0.0	0.0	0.0	757.3960463531016	384.4580777096115	83.03632291362352	2.872723731619437	0.0876424189307625	0.009738046547862499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06457540968101826	0.17206704051994237	0.19596523484949405	0.0505829022912074	0.011499552449224404	0.011251600179947755	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	17.5	101.43	0.0	0.0	0.0	0.0	0.0	680.607315389924	340.0769003253475	85.31992507147785	3.608399881691807	0.059154096421177166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058028420447698535	0.1537306647086126	0.21027919660225397	0.06024686132361583	0.006387039906347657	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	22.5	97.02	0.0	0.0	0.0	0.0	0.0	686.5491651205937	312.3891981034838	78.44774273345702	4.174397031539889	0.04122861265718409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058535021165339665	0.13934123375122787	0.19686401672797027	0.06628072395814853	0.005873363022548083	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	27.5	104.58	0.0	0.0	0.0	0.0	0.0	673.2931726907631	307.82176324345	77.28055077452667	3.6048957735704725	0.02868617326448652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057404818352681054	0.138900115418634	0.19308381150433346	0.057722941578675246	0.0022650603022294612	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	32.5	97.02	0.0	0.0	0.0	0.0	0.0	639.0228818800248	282.57060399917543	78.43743558029273	3.287981859410431	0.04122861265718409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0544829413774224	0.12751616019919695	0.19751040915157125	0.052763570089880016	0.003283146017779342	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	37.5	103.32	0.0	0.0	0.0	0.0	0.0	635.1045296167248	275.687185443283	78.63917924893535	4.074719318621758	0.05807200929152149	0.029036004645760744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0541488635803498	0.1253939402417954	0.200303693982304	0.06663080419934354	0.005877308180695517	0.03416645291050616	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	42.5	90.09	0.0	0.0	0.0	0.0	0.0	654.7341547341547	272.44977244977247	79.23187923187923	4.162504162504162	0.111000111000111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05582248082451995	0.12267315404476417	0.2041086112341235	0.06720989262077721	0.01969906905243555	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	47.5	91.35	0.0	0.0	0.0	0.0	0.0	640.9085933223864	259.9671592775041	80.10946907498632	4.685276409414341	0.08757525998905309	0.021893814997263273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054643716693740754	0.11799909272011072	0.2090450645361456	0.07542237932805063	0.019970790891633457	0.020393218688458243	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	52.5	91.98	0.0	0.0	0.0	0.0	0.0	659.9260708849749	256.3492063492063	76.3752989780387	5.001087192868015	0.09784735812133072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05626514238062796	0.11530249505277274	0.20208709546983827	0.08368314771123053	0.013297328459166573	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	57.5	94.5	0.0	0.0	0.0	0.0	0.0	697.5767195767196	265.74603174603175	79.28042328042328	5.015873015873016	0.07407407407407407	0.010582010582010581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05947522787781579	0.11780070553192848	0.2079785734420312	0.08139876142735973	0.013901405877068462	0.007974910109120858	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	62.5	94.5	0.0	0.0	0.0	0.0	0.0	695.7460317460317	268.7195767195767	76.06349206349206	5.365079365079365	0.19047619047619047	0.021164021164021163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05931914386175321	0.11951832694786804	0.20398467644745694	0.08911045864566705	0.03551725819600202	0.01616737611432412	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	67.5	99.54	0.0	0.0	0.0	0.0	0.0	632.1277878239903	251.96905766526018	76.12015270243118	5.485232067510548	0.20092425155716293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05389506727166031	0.11257079545929943	0.20815383665639475	0.09303295619595425	0.04142009038957854	0.0	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	72.5	98.91	0.0	0.0	0.0	0.0	0.0	588.6563542614498	217.2783338388434	66.33303002729754	5.3381862299059755	0.3033060357901122	0.02022040238600748	0.01011020119300374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050188703018454926	0.09697729470300433	0.18147770711389302	0.09443832639809531	0.0455675155474803	0.018656960054891505	0.06678436253355491	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	77.5	98.28	0.0	0.0	0.0	0.0	0.0	566.9312169312169	205.05698005698005	61.60968660968661	5.606430606430607	0.2442002442002442	0.030525030525030524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04833642289337208	0.09125046328830344	0.16859055500732512	0.10471894700299476	0.029584432376416957	0.044599864306662476	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	82.5	97.65	0.0	0.0	0.0	0.0	0.0	582.7342549923195	210.60931899641577	60.081925243215565	5.386584741423451	0.3993855606758832	0.06144393241167434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049683786220543015	0.09346240693653873	0.16241906109083828	0.10154664985588024	0.06575006561410404	0.04939835834689711	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	87.5	87.57	0.0	0.0	0.0	0.0	0.0	598.709603745575	215.93011305241524	57.00582391229874	5.184423889459861	0.5252940504739066	0.05709717939933768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05104584071700612	0.09471315067929625	0.15084496139505807	0.10406121399436476	0.08911752792207062	0.05822549615819014	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	92.5	102.06	0.0	0.0	0.0	0.0	0.0	473.35880854399375	144.95394865765235	35.2145796590241	3.9976484420928866	0.37233000195963156	0.03919263178522438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04035846125026701	0.06321169940577784	0.09320026116996369	0.08432807021498698	0.05908276303982653	0.03004954904501849	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	97.5	98.91	0.0	0.0	0.0	0.0	0.0	488.5552522495198	150.89475280558085	34.77909210393287	3.912647861692448	0.6571630775452432	0.11121221312304115	0.01011020119300374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04165410648462486	0.06542600611936844	0.08982455091428758	0.08567061134437604	0.11796727446855648	0.11251321799450276	0.04658426416470568	0.0	0.0	0.0																																					
