depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3	datetime
0.0	23	2	7685	28.5	38.0	47.5	20210312115400
0.0	23	3	1879	32.75	46.5	60.25	20210312115400
0.0	23	4	1175	36.5	52.0	67.5	20210312115400
0.0	23	5	655	40.0	57.0	74.0	20210312115400
0.0	23	6	466	56.25	58.5	60.75	20210312115400
0.0	23	7	299	55.0	58.0	61.0	20210312115400
0.0	23	8	217	56.0	60.0	64.0	20210312115400
0.0	23	9	154	60.75	65.5	70.25	20210312115400
0.0	23	10	126	63.75	70.5	77.25	20210312115400
0.0	23	11	94	65.25	72.5	79.75	20210312115400
0.0	23	12	67	60.0	71.0	82.0	20210312115400
0.0	23	13	53	65.25	72.5	79.75	20210312115400
0.0	23	14	51	58.5	67.0	75.5	20210312115400
0.0	23	15	37	64.75	75.5	86.25	20210312115400
0.0	23	16	26	65.0	75.0	85.0	20210312115400
0.0	23	17	24	49.5	59.0	68.5	20210312115400
0.0	23	18	23	64.25	71.5	78.75	20210312115400
0.0	23	20	16	69.25	75.5	81.75	20210312115400
0.0	23	22	11	61.25	73.5	85.75	20210312115400
0.0	23	27	5	73.5	79.0	84.5	20210312115400
0.0	23	29	4	80.75	85.5	90.25	20210312115400
0.0	23	23	10	68.0	78.0	88.0	20210312115400
0.0	23	19	17	72.5	82.0	91.5	20210312115400
0.0	23	31	1	55.75	56.0	56.25	20210312115400
0.0	23	21	6	58.5	67.0	75.5	20210312115400
0.0	23	25	7	66.5	73.0	79.5	20210312115400
0.0	23	30	2	81.5	83.0	84.5	20210312115400
0.0	23	28	5	72.0	77.0	82.0	20210312115400
0.0	23	199	1	83.75	84.0	84.25	20210312115400
0.0	23	26	5	73.25	77.5	81.75	20210312115400
0.0	23	33	2	69.75	74.5	79.25	20210312115400
0.0	23	34	2	87.75	95.5	103.25	20210312115400
0.0	23	35	1	77.75	78.0	78.25	20210312115400
0.0	23	24	2	71.25	80.5	89.75	20210312115400
0.0	23	43	2	80.25	85.5	90.75	20210312115400
0.0	23	59	2	66.0	71.0	76.0	20210312115400
0.0	23	49	1	88.75	89.0	89.25	20210312115400
0.0	23	38	1	104.75	105.0	105.25	20210312115400
