depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3	datetime
0.0	18	2	12154	30.75	41.5	52.25	20210304100200
0.0	18	3	3393	33.0	46.0	59.0	20210304100200
0.0	18	4	1771	36.75	51.5	66.25	20210304100200
0.0	18	5	855	39.5	56.0	72.5	20210304100200
0.0	18	6	488	39.5	57.0	74.5	20210304100200
0.0	18	7	301	52.25	55.5	58.75	20210304100200
0.0	18	8	209	56.25	60.5	64.75	20210304100200
0.0	18	9	157	56.75	59.5	62.25	20210304100200
0.0	18	10	105	61.25	65.5	69.75	20210304100200
0.0	18	11	88	61.25	66.5	71.75	20210304100200
0.0	18	13	47	63.75	72.5	81.25	20210304100200
0.0	18	14	27	63.25	69.5	75.75	20210304100200
0.0	18	15	30	65.5	79.0	92.5	20210304100200
0.0	18	17	16	54.5	67.0	79.5	20210304100200
0.0	18	18	20	53.75	67.5	81.25	20210304100200
0.0	18	20	10	80.5	87.0	93.5	20210304100200
0.0	18	21	15	66.5	78.0	89.5	20210304100200
0.0	18	25	11	70.5	78.0	85.5	20210304100200
0.0	18	27	7	71.25	83.5	95.75	20210304100200
0.0	18	31	3	92.75	94.5	96.25	20210304100200
0.0	18	12	59	59.75	67.5	75.25	20210304100200
0.0	18	23	11	66.5	78.0	89.5	20210304100200
0.0	18	32	3	80.0	85.0	90.0	20210304100200
0.0	18	33	2	83.75	84.5	85.25	20210304100200
0.0	18	16	18	61.75	68.5	75.25	20210304100200
0.0	18	19	13	68.5	74.0	79.5	20210304100200
0.0	18	22	9	70.5	83.0	95.5	20210304100200
0.0	18	24	5	78.75	81.5	84.25	20210304100200
0.0	18	46	1	31.75	32.0	32.25	20210304100200
0.0	18	28	6	72.0	78.0	84.0	20210304100200
0.0	18	29	4	78.0	81.0	84.0	20210304100200
0.0	18	61	1	71.75	72.0	72.25	20210304100200
0.0	18	41	1	103.75	104.0	104.25	20210304100200
0.0	18	26	6	84.0	90.0	96.0	20210304100200
0.0	18	34	1	98.75	99.0	99.25	20210304100200
0.0	18	30	1	86.75	87.0	87.25	20210304100200
0.0	18	55	1	73.75	74.0	74.25	20210304100200
0.0	18	51	1	63.75	64.0	64.25	20210304100200
0.0	18	58	1	80.75	81.0	81.25	20210304100200
0.0	28	2	18215	30.5	41.0	51.5	20210304100300
0.0	28	3	4963	33.75	47.5	61.25	20210304100300
0.0	28	4	2731	38.0	54.0	70.0	20210304100300
0.0	28	5	1276	39.0	57.0	75.0	20210304100300
0.0	28	6	763	40.25	57.5	74.75	20210304100300
0.0	28	7	472	56.25	59.5	62.75	20210304100300
0.0	28	8	297	56.5	62.0	67.5	20210304100300
0.0	28	9	218	54.0	60.0	66.0	20210304100300
0.0	28	10	139	54.75	65.5	76.25	20210304100300
0.0	28	11	115	54.5	65.0	75.5	20210304100300
0.0	28	12	73	56.5	66.0	75.5	20210304100300
0.0	28	13	54	59.0	76.0	93.0	20210304100300
0.0	28	17	34	57.5	68.0	78.5	20210304100300
0.0	28	18	21	67.5	80.0	92.5	20210304100300
0.0	28	22	12	69.25	76.5	83.75	20210304100300
0.0	28	23	12	63.0	74.0	85.0	20210304100300
0.0	28	55	1	109.75	110.0	110.25	20210304100300
0.0	28	107	1	118.75	119.0	119.25	20210304100300
0.0	28	14	49	59.5	71.0	82.5	20210304100300
0.0	28	15	51	66.5	75.0	83.5	20210304100300
0.0	28	16	28	61.5	70.0	78.5	20210304100300
0.0	28	19	18	66.5	75.0	83.5	20210304100300
0.0	28	27	7	68.5	76.0	83.5	20210304100300
0.0	28	30	1	75.75	76.0	76.25	20210304100300
0.0	28	31	3	80.0	82.0	84.0	20210304100300
0.0	28	44	1	91.75	92.0	92.25	20210304100300
0.0	28	20	14	70.75	80.5	90.25	20210304100300
0.0	28	21	9	68.75	75.5	82.25	20210304100300
0.0	28	28	3	88.5	91.0	93.5	20210304100300
0.0	28	70	1	109.75	110.0	110.25	20210304100300
0.0	28	29	2	73.75	74.0	74.25	20210304100300
0.0	28	43	1	101.75	102.0	102.25	20210304100300
0.0	28	24	5	54.75	67.5	80.25	20210304100300
0.0	28	42	1	87.75	88.0	88.25	20210304100300
0.0	28	48	1	89.75	90.0	90.25	20210304100300
0.0	28	26	5	77.5	84.0	90.5	20210304100300
0.0	28	32	2	66.5	75.0	83.5	20210304100300
0.0	28	35	1	75.75	76.0	76.25	20210304100300
0.0	28	25	5	85.5	87.0	88.5	20210304100300
0.0	28	41	2	93.25	94.5	95.75	20210304100300
0.0	28	37	1	91.75	92.0	92.25	20210304100300
0.0	28	38	1	78.75	79.0	79.25	20210304100300
0.0	28	100	1	119.75	120.0	120.25	20210304100300
0.0	28	33	1	91.75	92.0	92.25	20210304100300
0.0	29	2	18531	31.25	42.5	53.75	20210304100400
0.0	29	3	5132	34.0	48.0	62.0	20210304100400
0.0	29	4	2800	37.5	53.0	68.5	20210304100400
0.0	29	5	1195	41.0	60.0	79.0	20210304100400
0.0	29	6	701	39.5	55.0	70.5	20210304100400
0.0	29	7	463	55.5	59.0	62.5	20210304100400
0.0	29	8	315	56.5	62.0	67.5	20210304100400
0.0	29	9	227	58.25	63.5	68.75	20210304100400
0.0	29	10	146	60.25	71.5	82.75	20210304100400
0.0	29	11	113	58.75	64.5	70.25	20210304100400
0.0	29	12	88	60.5	69.0	77.5	20210304100400
0.0	29	13	54	58.75	65.5	72.25	20210304100400
0.0	29	14	45	60.75	71.5	82.25	20210304100400
0.0	29	15	37	59.5	67.0	74.5	20210304100400
0.0	29	17	31	64.75	73.5	82.25	20210304100400
0.0	29	19	20	55.0	66.0	77.0	20210304100400
0.0	29	34	5	73.0	82.0	91.0	20210304100400
0.0	29	52	1	99.75	100.0	100.25	20210304100400
0.0	29	16	36	67.5	74.0	80.5	20210304100400
0.0	29	20	18	64.0	73.0	82.0	20210304100400
0.0	29	21	14	56.0	68.0	80.0	20210304100400
0.0	29	23	9	68.75	77.5	86.25	20210304100400
0.0	29	36	1	63.75	64.0	64.25	20210304100400
0.0	29	24	11	67.75	79.5	91.25	20210304100400
0.0	29	29	5	56.75	66.5	76.25	20210304100400
0.0	29	37	1	80.75	81.0	81.25	20210304100400
0.0	29	18	29	76.75	85.5	94.25	20210304100400
0.0	29	41	1	85.75	86.0	86.25	20210304100400
0.0	29	31	5	77.0	88.0	99.0	20210304100400
0.0	29	32	4	79.5	84.0	88.5	20210304100400
0.0	29	77	1	55.75	56.0	56.25	20210304100400
0.0	29	141	1	115.75	116.0	116.25	20210304100400
0.0	29	27	4	74.25	81.5	88.75	20210304100400
0.0	29	35	2	82.5	87.0	91.5	20210304100400
0.0	29	30	2	88.75	89.5	90.25	20210304100400
0.0	29	22	5	71.75	80.5	89.25	20210304100400
0.0	29	28	3	84.0	89.0	94.0	20210304100400
0.0	29	25	5	79.75	83.5	87.25	20210304100400
0.0	29	70	1	87.75	88.0	88.25	20210304100400
0.0	29	43	1	87.75	88.0	88.25	20210304100400
0.0	29	86	1	104.75	105.0	105.25	20210304100400
0.0	29	42	1	80.75	81.0	81.25	20210304100400
0.0	29	26	5	80.5	87.0	93.5	20210304100400
0.0	29	39	1	75.75	76.0	76.25	20210304100400
0.0	29	63	1	114.75	115.0	115.25	20210304100400
0.0	29	38	2	91.0	97.0	103.0	20210304100400
0.0	29	59	1	92.75	93.0	93.25	20210304100400
0.0	29	50	1	82.75	83.0	83.25	20210304100400
0.0	28	2	18060	30.75	41.5	52.25	20210304100500
0.0	28	3	5009	33.0	47.0	61.0	20210304100500
0.0	28	4	2640	37.0	53.0	69.0	20210304100500
0.0	28	5	1209	39.25	57.5	75.75	20210304100500
0.0	28	6	746	37.75	53.5	69.25	20210304100500
0.0	28	7	426	54.5	58.0	61.5	20210304100500
0.0	28	8	336	56.75	61.5	66.25	20210304100500
0.0	28	9	204	59.0	66.0	73.0	20210304100500
0.0	28	10	169	56.25	62.5	68.75	20210304100500
0.0	28	11	94	62.0	71.0	80.0	20210304100500
0.0	28	12	80	61.25	71.5	81.75	20210304100500
0.0	28	13	53	63.5	73.0	82.5	20210304100500
0.0	28	15	31	45.0	62.0	79.0	20210304100500
0.0	28	17	24	67.5	75.0	82.5	20210304100500
0.0	28	18	16	72.5	79.0	85.5	20210304100500
